epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2643.17,1.0226,1.43123,1.30115,0.80979,0.83883,0.8848,0.7442,0.77015,1.02047,1.14242,0.00949263,0.00949263,0.00949263
43,2703.88,1.00834,1.41983,1.28904,0.85503,0.85242,0.91591,0.75397,0.80381,0.99777,1.17138,0.00948025,0.00948025,0.00948025
44,2763.92,1.00419,1.43416,1.29655,0.88005,0.87066,0.92362,0.77742,0.74046,0.84549,1.11706,0.00946788,0.00946788,0.00946788
45,2823.37,1.01412,1.40829,1.3043,0.86262,0.83125,0.91746,0.77348,0.76277,0.84994,1.14416,0.0094555,0.0094555,0.0094555
46,2882.29,1.00054,1.39706,1.2884,0.83969,0.88151,0.9223,0.77026,0.75972,0.83924,1.11829,0.00944313,0.00944313,0.00944313
47,2941.39,0.9983,1.38212,1.28614,0.84913,0.85435,0.92753,0.78406,0.72507,0.88009,1.09894,0.00943075,0.00943075,0.00943075
48,3000.38,0.99976,1.37113,1.27959,0.87326,0.85567,0.93157,0.75857,0.82526,0.83937,1.14777,0.00941837,0.00941837,0.00941837
49,3059.25,0.97281,1.35022,1.26787,0.87854,0.85529,0.92062,0.77876,0.71981,0.77303,1.10074,0.009406,0.009406,0.009406
50,3117.86,0.9852,1.33775,1.27736,0.87423,0.85382,0.9292,0.77537,0.7473,0.77542,1.10621,0.00939363,0.00939363,0.00939363
51,3176.47,0.98801,1.35838,1.28804,0.87059,0.899,0.93755,0.78795,0.73245,0.70142,1.10667,0.00938125,0.00938125,0.00938125
52,3235.34,0.9808,1.35656,1.27556,0.8686,0.87658,0.93818,0.76679,0.78107,0.73926,1.13061,0.00936888,0.00936888,0.00936888
53,3294.06,0.96353,1.33004,1.26251,0.87658,0.84059,0.92933,0.77362,0.75411,0.74496,1.10796,0.0093565,0.0093565,0.0093565
54,3353.34,0.95235,1.297,1.25904,0.86263,0.86085,0.92999,0.7838,0.73679,0.75907,1.10691,0.00934413,0.00934413,0.00934413
55,3412.14,0.97343,1.3406,1.27234,0.88694,0.85641,0.92483,0.75553,0.78596,0.81317,1.1337,0.00933175,0.00933175,0.00933175
56,3471.1,0.96043,1.32355,1.26178,0.85855,0.86586,0.92795,0.79653,0.71921,0.89204,1.08686,0.00931937,0.00931937,0.00931937
57,3529.91,0.94116,1.23815,1.24575,0.86912,0.85878,0.92901,0.7823,0.73211,0.75584,1.08422,0.009307,0.009307,0.009307
58,3588.8,0.95475,1.27704,1.25858,0.87155,0.92424,0.94577,0.8073,0.71564,0.67857,1.07838,0.00929462,0.00929462,0.00929462
59,3647.7,0.9509,1.2685,1.26558,0.86192,0.87251,0.93523,0.79817,0.71644,0.74665,1.07544,0.00928225,0.00928225,0.00928225
60,3706.5,0.9403,1.26517,1.25108,0.9061,0.88055,0.93878,0.80626,0.70474,0.68135,1.08073,0.00926988,0.00926988,0.00926988
61,3765.3,0.94106,1.25681,1.25049,0.88984,0.88019,0.925,0.79516,0.68246,0.71971,1.06027,0.0092575,0.0092575,0.0092575
62,3824.07,0.94451,1.2346,1.24962,0.89288,0.85941,0.91819,0.78827,0.67873,0.74255,1.05564,0.00924512,0.00924512,0.00924512
63,3882.89,0.93214,1.23629,1.2447,0.90504,0.89543,0.94377,0.80987,0.68743,0.70491,1.05858,0.00923275,0.00923275,0.00923275
64,3941.91,0.93109,1.21452,1.23703,0.90814,0.88082,0.94141,0.807,0.71061,0.76162,1.08513,0.00922038,0.00922038,0.00922038
65,4000.56,0.925,1.25269,1.23581,0.90226,0.85389,0.94071,0.81587,0.69697,0.73742,1.05929,0.009208,0.009208,0.009208
66,4059.36,0.91645,1.2173,1.23727,0.89946,0.88226,0.93884,0.79857,0.73759,0.75962,1.08841,0.00919562,0.00919562,0.00919562
67,4118.36,0.92164,1.23062,1.23594,0.89961,0.88908,0.93824,0.81455,0.68362,0.6675,1.06848,0.00918325,0.00918325,0.00918325
68,4177.3,0.93393,1.23002,1.24675,0.91355,0.90758,0.95143,0.81036,0.71469,0.61988,1.08162,0.00917088,0.00917088,0.00917088
69,4236.2,0.92968,1.22149,1.24926,0.85013,0.88077,0.93821,0.80307,0.73088,0.73435,1.1033,0.0091585,0.0091585,0.0091585
70,4295.12,0.9203,1.18319,1.23674,0.87932,0.86515,0.94082,0.81382,0.69644,0.65862,1.07633,0.00914613,0.00914613,0.00914613
71,4354.32,0.91859,1.16827,1.23155,0.87878,0.91001,0.94615,0.80799,0.68365,0.7104,1.05348,0.00913375,0.00913375,0.00913375
72,4413.24,0.90463,1.16825,1.22902,0.9148,0.84385,0.93351,0.80943,0.68692,0.69359,1.0652,0.00912138,0.00912138,0.00912138
73,4472.26,0.90871,1.18769,1.23412,0.89883,0.87984,0.94106,0.81351,0.69134,0.65772,1.06522,0.009109,0.009109,0.009109
74,4531.3,0.90777,1.16077,1.2307,0.90021,0.86225,0.93939,0.80425,0.69574,0.65437,1.07736,0.00909662,0.00909662,0.00909662
75,4590.27,0.90793,1.16408,1.22828,0.89876,0.8772,0.93525,0.82671,0.64315,0.6349,1.03216,0.00908425,0.00908425,0.00908425
76,4649.12,0.88987,1.16129,1.2211,0.88808,0.87816,0.93069,0.81065,0.66875,0.66854,1.05275,0.00907188,0.00907188,0.00907188
77,4707.88,0.8849,1.14055,1.21745,0.91948,0.8783,0.94768,0.8052,0.69305,0.63687,1.05672,0.0090595,0.0090595,0.0090595
78,4766.86,0.90609,1.15031,1.2248,0.89864,0.84115,0.91788,0.7838,0.70918,0.68994,1.07461,0.00904713,0.00904713,0.00904713
79,4825.62,0.88152,1.11962,1.21219,0.92185,0.87997,0.93396,0.8085,0.67259,0.63853,1.04959,0.00903475,0.00903475,0.00903475
80,4884.37,0.89342,1.12373,1.21601,0.9019,0.88259,0.9386,0.80718,0.67206,0.69731,1.05356,0.00902238,0.00902238,0.00902238
81,4943.29,0.87602,1.10279,1.21307,0.85055,0.87921,0.94055,0.82624,0.65666,0.62978,1.03476,0.00901,0.00901,0.00901
82,5002.3,0.89152,1.14009,1.21621,0.89372,0.89664,0.95462,0.82436,0.67243,0.60088,1.04891,0.00899762,0.00899762,0.00899762
83,5061.13,0.88611,1.15312,1.2116,0.91203,0.88214,0.9458,0.825,0.64885,0.60849,1.04249,0.00898525,0.00898525,0.00898525
84,5120.07,0.89674,1.16431,1.22211,0.91243,0.88563,0.94305,0.82528,0.64983,0.62294,1.02941,0.00897287,0.00897287,0.00897287
85,5178.7,0.87912,1.12199,1.21848,0.89161,0.87972,0.94802,0.8228,0.67119,0.66626,1.05822,0.0089605,0.0089605,0.0089605
86,5237.51,0.87772,1.10086,1.21024,0.91407,0.88788,0.95498,0.82913,0.6538,0.59155,1.04061,0.00894812,0.00894812,0.00894812
87,5296.45,0.87622,1.09047,1.2116,0.89612,0.88769,0.9327,0.80843,0.65857,0.64349,1.05555,0.00893575,0.00893575,0.00893575
88,5355.46,0.87386,1.10653,1.19898,0.87833,0.90055,0.94891,0.82493,0.66443,0.60904,1.05034,0.00892338,0.00892338,0.00892338
89,5414.37,0.87285,1.1439,1.20715,0.91949,0.90224,0.96345,0.83363,0.66715,0.57756,1.04552,0.008911,0.008911,0.008911
90,5473.18,0.883,1.10883,1.20966,0.90307,0.88114,0.93489,0.81366,0.65021,0.64654,1.03653,0.00889863,0.00889863,0.00889863
91,5531.96,0.87205,1.10848,1.20765,0.89496,0.89142,0.95212,0.83175,0.66365,0.60849,1.03585,0.00888625,0.00888625,0.00888625
92,5590.89,0.8567,1.0479,1.1862,0.91394,0.88846,0.94284,0.82144,0.63035,0.58512,1.01661,0.00887387,0.00887387,0.00887387
93,5649.73,0.88149,1.09822,1.21525,0.89643,0.88818,0.94277,0.82179,0.66435,0.6108,1.04071,0.0088615,0.0088615,0.0088615
94,5708.4,0.85104,1.06344,1.19213,0.88324,0.90977,0.94361,0.82457,0.63121,0.58645,1.01696,0.00884912,0.00884912,0.00884912
95,5767.1,0.85396,1.07396,1.19563,0.90137,0.89796,0.94547,0.82155,0.64487,0.56596,1.0299,0.00883675,0.00883675,0.00883675
96,5825.99,0.85582,1.06375,1.19694,0.89357,0.87174,0.93809,0.81927,0.63571,0.61226,1.03116,0.00882438,0.00882438,0.00882438
97,5885.18,0.84786,1.04808,1.19448,0.85833,0.88565,0.94427,0.81686,0.67615,0.60247,1.04911,0.008812,0.008812,0.008812
98,5944.02,0.83802,1.0402,1.17946,0.92533,0.91012,0.95566,0.84331,0.63333,0.54991,1.01628,0.00879963,0.00879963,0.00879963
99,6002.71,0.86221,1.03453,1.20148,0.91365,0.87692,0.95116,0.83118,0.63833,0.55952,1.02036,0.00878725,0.00878725,0.00878725
100,6061.31,0.85754,1.02947,1.19371,0.92297,0.88565,0.95583,0.84545,0.64601,0.57256,1.04005,0.00877487,0.00877487,0.00877487
101,6120.35,0.85933,1.04697,1.19317,0.9547,0.88807,0.95785,0.8375,0.63549,0.54553,1.03479,0.0087625,0.0087625,0.0087625
102,6179.17,0.84486,1.0558,1.18722,0.92568,0.89888,0.95021,0.8265,0.65438,0.55822,1.04984,0.00875013,0.00875013,0.00875013
103,6237.95,0.85151,1.03837,1.19726,0.92136,0.89652,0.94873,0.82883,0.64872,0.57322,1.03692,0.00873775,0.00873775,0.00873775
104,6296.86,0.84583,1.01208,1.1884,0.90197,0.90222,0.94583,0.82805,0.62983,0.5609,1.02698,0.00872538,0.00872538,0.00872538
105,6355.76,0.83827,1.04521,1.18466,0.94795,0.87896,0.9538,0.83097,0.64518,0.56284,1.03721,0.008713,0.008713,0.008713
106,6414.81,0.84619,1.02574,1.19034,0.92436,0.87934,0.94106,0.83039,0.62866,0.55933,1.02655,0.00870063,0.00870063,0.00870063
107,6473.62,0.82949,0.99782,1.17927,0.90735,0.87754,0.9401,0.82316,0.63145,0.61548,1.0377,0.00868825,0.00868825,0.00868825
108,6532.59,0.83753,1.00236,1.1846,0.89362,0.86772,0.93228,0.81349,0.66218,0.63486,1.05107,0.00867587,0.00867587,0.00867587
109,6591.46,0.83715,1.04431,1.18375,0.88935,0.89563,0.94098,0.82826,0.63433,0.57778,1.02318,0.0086635,0.0086635,0.0086635
110,6650.49,0.83546,1.01656,1.17601,0.90119,0.8941,0.94481,0.82966,0.64526,0.57279,1.03794,0.00865113,0.00865113,0.00865113
111,6709.51,0.8324,0.99614,1.18442,0.93218,0.91015,0.95393,0.84119,0.62341,0.50253,1.01943,0.00863875,0.00863875,0.00863875
112,6768.45,0.83241,1.02408,1.18475,0.91896,0.88659,0.94254,0.827,0.64748,0.58398,1.03842,0.00862638,0.00862638,0.00862638
113,6827.41,0.83919,0.98368,1.18366,0.92745,0.90214,0.94749,0.83588,0.62741,0.558,1.02156,0.008614,0.008614,0.008614
114,6886.29,0.81956,1.00388,1.17598,0.89987,0.90763,0.94927,0.84526,0.61118,0.53077,1.01304,0.00860162,0.00860162,0.00860162
115,6945.14,0.82384,0.98102,1.18368,0.91694,0.90402,0.95881,0.83698,0.64893,0.51203,1.01548,0.00858925,0.00858925,0.00858925
116,7004.35,0.83107,0.988,1.17887,0.91104,0.89769,0.95471,0.84784,0.60571,0.52313,0.99267,0.00857687,0.00857687,0.00857687
117,7063.38,0.83913,1.0227,1.18951,0.9414,0.8828,0.95559,0.84121,0.61744,0.52924,1.0152,0.0085645,0.0085645,0.0085645
118,7122.44,0.83984,1.01988,1.18534,0.94318,0.90725,0.954,0.83617,0.6303,0.50237,1.02385,0.00855213,0.00855213,0.00855213
119,7181.6,0.81017,0.99808,1.17052,0.92718,0.90367,0.94618,0.83418,0.62805,0.5428,1.01731,0.00853975,0.00853975,0.00853975
120,7240.67,0.82175,0.98368,1.1752,0.91117,0.89494,0.94608,0.836,0.60326,0.53218,1.00088,0.00852738,0.00852738,0.00852738
121,7299.73,0.82392,0.99694,1.17913,0.94918,0.8768,0.95357,0.8507,0.61742,0.50492,1.00232,0.008515,0.008515,0.008515
122,7358.67,0.81221,0.98709,1.17299,0.92917,0.88728,0.94685,0.84082,0.62039,0.50089,1.01146,0.00850262,0.00850262,0.00850262
123,7417.7,0.79549,0.95733,1.16195,0.93726,0.89171,0.95639,0.8424,0.61311,0.51914,1.00083,0.00849025,0.00849025,0.00849025
124,7476.71,0.8124,0.97175,1.16759,0.9285,0.89028,0.95484,0.84535,0.62633,0.51503,1.01117,0.00847787,0.00847787,0.00847787
125,7535.71,0.82109,0.98016,1.17761,0.93684,0.8996,0.94368,0.82629,0.62866,0.5496,1.01616,0.0084655,0.0084655,0.0084655
126,7594.74,0.81642,0.97015,1.1768,0.91985,0.89041,0.95588,0.84376,0.6337,0.5487,1.01027,0.00845313,0.00845313,0.00845313
127,7653.92,0.81193,0.98325,1.16734,0.92715,0.90854,0.95309,0.84682,0.61138,0.49648,1.00966,0.00844075,0.00844075,0.00844075
128,7712.78,0.80215,0.96847,1.16623,0.95615,0.90706,0.95954,0.84739,0.62195,0.51268,1.00832,0.00842838,0.00842838,0.00842838
129,7771.72,0.81928,0.98096,1.17696,0.93791,0.89589,0.96407,0.85118,0.63044,0.5025,1.01583,0.008416,0.008416,0.008416
130,7830.35,0.80564,0.97178,1.16943,0.95712,0.91052,0.95678,0.85192,0.61047,0.50154,1.00952,0.00840362,0.00840362,0.00840362
131,7889.56,0.80774,0.97711,1.16773,0.9193,0.89308,0.94834,0.8464,0.59744,0.52946,0.99536,0.00839125,0.00839125,0.00839125
132,7948.85,0.81382,0.96422,1.16903,0.92088,0.90073,0.94664,0.83865,0.6036,0.56518,1.01109,0.00837887,0.00837887,0.00837887
133,8007.92,0.81293,0.94434,1.16598,0.92154,0.90918,0.95308,0.83317,0.62147,0.552,1.02099,0.0083665,0.0083665,0.0083665
134,8067.18,0.80562,0.94541,1.16599,0.93848,0.90686,0.96031,0.8557,0.60575,0.49081,1.00958,0.00835413,0.00835413,0.00835413
135,8126.25,0.79193,0.94685,1.1534,0.88902,0.90128,0.94839,0.84363,0.60128,0.55989,1.0122,0.00834175,0.00834175,0.00834175
136,8185.46,0.81275,0.93705,1.16909,0.89827,0.9101,0.94906,0.8393,0.59101,0.52878,0.99572,0.00832937,0.00832937,0.00832937
137,8244.78,0.79735,0.92417,1.14904,0.93476,0.89539,0.95172,0.84897,0.59665,0.47056,0.99986,0.008317,0.008317,0.008317
138,8304.29,0.79675,0.97028,1.1627,0.91243,0.90309,0.95462,0.85161,0.60427,0.53247,1.00022,0.00830462,0.00830462,0.00830462
139,8363.49,0.81744,0.93752,1.16606,0.92757,0.88381,0.94964,0.84395,0.60206,0.52069,0.99377,0.00829225,0.00829225,0.00829225
140,8422.45,0.79299,0.938,1.15755,0.91453,0.9109,0.95577,0.84887,0.6054,0.47557,1.00297,0.00827988,0.00827988,0.00827988
141,8481.59,0.79043,0.92869,1.15576,0.92815,0.89082,0.95465,0.84611,0.59026,0.49164,0.99901,0.0082675,0.0082675,0.0082675
142,8540.68,0.79254,0.91768,1.1557,0.93513,0.89117,0.957,0.85721,0.59492,0.47856,0.98894,0.00825513,0.00825513,0.00825513
143,8600.18,0.80299,0.96706,1.16624,0.94796,0.89491,0.95801,0.85712,0.58908,0.45834,0.99359,0.00824275,0.00824275,0.00824275
144,8659.29,0.78955,0.93732,1.16372,0.94418,0.87674,0.95275,0.84322,0.5951,0.45964,0.99081,0.00823038,0.00823038,0.00823038
145,8718.27,0.80671,0.95597,1.17499,0.94077,0.8923,0.95496,0.85549,0.59016,0.48838,0.99835,0.008218,0.008218,0.008218
146,8777.64,0.79835,0.90835,1.1588,0.94247,0.85669,0.94427,0.84562,0.59542,0.51984,1,0.00820562,0.00820562,0.00820562
