epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.8944,0.51614,0.57109,1.01387,0.9261,0.89756,0.95861,0.89323,0.44694,0.42802,0.93157,0.000100889,0.000100889,0.000100889
2,119.617,0.53084,0.59645,1.0287,0.93289,0.89019,0.96331,0.8917,0.45747,0.42965,0.9467,0.00020089,0.00020089,0.00020089
3,176.839,0.54616,0.61364,1.0355,0.91783,0.89472,0.95425,0.89129,0.4616,0.46893,0.94823,0.000299891,0.000299891,0.000299891
4,232.625,0.56047,0.63104,1.04979,0.90317,0.89317,0.95357,0.89056,0.46356,0.4855,0.9581,0.0002985,0.0002985,0.0002985
5,287.028,0.57079,0.64028,1.05024,0.9306,0.89995,0.96489,0.89388,0.45345,0.39755,0.94308,0.000297001,0.000297001,0.000297001
6,341.945,0.55999,0.64049,1.04922,0.92469,0.89288,0.95839,0.87875,0.48798,0.42201,0.96943,0.000295501,0.000295501,0.000295501
7,396.741,0.56828,0.64806,1.04694,0.9263,0.89184,0.95709,0.88735,0.45532,0.42972,0.93904,0.000294001,0.000294001,0.000294001
8,451.539,0.5676,0.64979,1.04401,0.92176,0.89318,0.95228,0.88579,0.45604,0.43827,0.93925,0.000292501,0.000292501,0.000292501
9,505.969,0.58344,0.65964,1.05485,0.92129,0.89943,0.96207,0.89543,0.4614,0.42736,0.93398,0.000291001,0.000291001,0.000291001
10,560.528,0.56981,0.65212,1.05175,0.90642,0.91945,0.95918,0.88829,0.45836,0.43164,0.93724,0.000289501,0.000289501,0.000289501
11,614.804,0.57789,0.65291,1.05339,0.92813,0.8978,0.9619,0.88754,0.4703,0.40851,0.94147,0.000288001,0.000288001,0.000288001
12,668.591,0.57456,0.63389,1.04407,0.91589,0.92132,0.96326,0.89582,0.46728,0.42357,0.94924,0.000286502,0.000286502,0.000286502
13,724.315,0.56251,0.64462,1.0466,0.9163,0.89461,0.95887,0.87875,0.48518,0.43136,0.95912,0.000285002,0.000285002,0.000285002
14,778.65,0.57777,0.65502,1.05247,0.89975,0.88724,0.95568,0.88285,0.47046,0.46894,0.955,0.000283502,0.000283502,0.000283502
15,833.801,0.57255,0.63871,1.05426,0.89759,0.89205,0.95649,0.87438,0.48303,0.45028,0.95783,0.000282002,0.000282002,0.000282002
16,889.143,0.56491,0.63262,1.04317,0.91102,0.89078,0.95642,0.87878,0.47979,0.47677,0.96083,0.000280502,0.000280502,0.000280502
17,944.781,0.57341,0.63634,1.05243,0.90515,0.88694,0.94807,0.87435,0.47067,0.48749,0.95587,0.000279002,0.000279002,0.000279002
18,1000.2,0.55029,0.63037,1.03358,0.92028,0.8918,0.95826,0.87989,0.49225,0.4493,0.97019,0.000277503,0.000277503,0.000277503
19,1055,0.55165,0.62662,1.02994,0.92898,0.91315,0.96535,0.89588,0.47453,0.4194,0.95244,0.000276003,0.000276003,0.000276003
20,1111.91,0.57378,0.6643,1.04985,0.91768,0.90639,0.96248,0.87714,0.47645,0.42566,0.95228,0.000274503,0.000274503,0.000274503
21,1165.77,0.56772,0.64198,1.037,0.93282,0.89853,0.95895,0.88349,0.46825,0.4153,0.94934,0.000273003,0.000273003,0.000273003
22,1220.66,0.57311,0.66469,1.04881,0.90076,0.91308,0.9558,0.87725,0.47684,0.46065,0.95009,0.000271503,0.000271503,0.000271503
23,1276.13,0.56201,0.64482,1.04221,0.89318,0.91764,0.95634,0.87705,0.49275,0.44751,0.97044,0.000270003,0.000270003,0.000270003
24,1331.18,0.57526,0.64054,1.04633,0.90803,0.88856,0.95598,0.88682,0.47387,0.44081,0.94524,0.000268503,0.000268503,0.000268503
25,1385.6,0.56152,0.63022,1.0435,0.92596,0.89151,0.96144,0.87924,0.47946,0.43582,0.94951,0.000267004,0.000267004,0.000267004
26,1439.74,0.55731,0.61647,1.04217,0.90777,0.90236,0.96471,0.88272,0.47981,0.43656,0.95955,0.000265504,0.000265504,0.000265504
27,1494.16,0.57197,0.65901,1.05013,0.88925,0.91555,0.96214,0.88721,0.47013,0.40425,0.94398,0.000264004,0.000264004,0.000264004
28,1549.13,0.5589,0.62266,1.04754,0.91901,0.88732,0.96666,0.89122,0.48898,0.44817,0.96251,0.000262504,0.000262504,0.000262504
29,1604.16,0.55584,0.62966,1.03517,0.9255,0.88395,0.96287,0.88023,0.48966,0.46375,0.9656,0.000261004,0.000261004,0.000261004
30,1658.32,0.55374,0.62791,1.04082,0.90761,0.89483,0.95914,0.88061,0.47657,0.46154,0.95562,0.000259504,0.000259504,0.000259504
31,1712.7,0.55273,0.61425,1.03539,0.93887,0.88717,0.95605,0.88072,0.47666,0.42536,0.94783,0.000258004,0.000258004,0.000258004
32,1766.84,0.55571,0.63358,1.03595,0.92726,0.88068,0.96104,0.88444,0.45733,0.44052,0.95196,0.000256505,0.000256505,0.000256505
33,1820.68,0.55787,0.62481,1.04039,0.92176,0.88829,0.96312,0.89637,0.45118,0.41571,0.94345,0.000255005,0.000255005,0.000255005
34,1874.06,0.56354,0.64011,1.04342,0.9101,0.9083,0.95607,0.88894,0.45965,0.4246,0.94082,0.000253505,0.000253505,0.000253505
35,1927.77,0.54351,0.60122,1.03187,0.90969,0.8957,0.95994,0.89295,0.45113,0.43289,0.9418,0.000252005,0.000252005,0.000252005
36,1981.82,0.55379,0.64268,1.03873,0.91603,0.89341,0.95448,0.88792,0.45492,0.4638,0.94973,0.000250505,0.000250505,0.000250505
37,2036.14,0.54683,0.60172,1.03193,0.90097,0.92024,0.95197,0.88904,0.45107,0.43985,0.93431,0.000249005,0.000249005,0.000249005
38,2090.57,0.54809,0.61415,1.0416,0.88857,0.8936,0.95697,0.88274,0.47189,0.45219,0.94399,0.000247506,0.000247506,0.000247506
39,2144.78,0.55378,0.62196,1.04396,0.89197,0.88705,0.95526,0.88219,0.46742,0.45654,0.94076,0.000246006,0.000246006,0.000246006
40,2199.19,0.55421,0.61843,1.03614,0.92122,0.90055,0.9547,0.88214,0.47769,0.45452,0.95167,0.000244506,0.000244506,0.000244506
41,2252.94,0.54707,0.61973,1.03532,0.91164,0.89609,0.95997,0.89133,0.46425,0.44431,0.9468,0.000243006,0.000243006,0.000243006
42,2306.73,0.54922,0.60731,1.04239,0.87765,0.92149,0.95134,0.88075,0.45727,0.4387,0.93317,0.000241506,0.000241506,0.000241506
43,2361.11,0.54482,0.60534,1.03222,0.92536,0.92314,0.96568,0.89103,0.46494,0.40507,0.9373,0.000240006,0.000240006,0.000240006
44,2415.07,0.55257,0.61896,1.03107,0.9055,0.91366,0.95559,0.88423,0.45894,0.41918,0.93313,0.000238506,0.000238506,0.000238506
45,2468.73,0.55757,0.60684,1.04132,0.92341,0.89417,0.95925,0.89922,0.44934,0.40975,0.93389,0.000237007,0.000237007,0.000237007
46,2523.72,0.55165,0.60281,1.03891,0.94431,0.90004,0.9602,0.89182,0.45587,0.38424,0.93916,0.000235507,0.000235507,0.000235507
47,2578.65,0.54455,0.63263,1.03214,0.9343,0.87718,0.95448,0.88744,0.45615,0.43502,0.93953,0.000234007,0.000234007,0.000234007
48,2634.06,0.54215,0.60707,1.03328,0.90593,0.88159,0.95863,0.89112,0.45477,0.42982,0.943,0.000232507,0.000232507,0.000232507
49,2689.35,0.54933,0.61167,1.0397,0.93625,0.87335,0.96243,0.88798,0.45358,0.39584,0.93717,0.000231007,0.000231007,0.000231007
50,2744.82,0.5482,0.59866,1.03251,0.9126,0.8928,0.95522,0.88806,0.45995,0.43911,0.93056,0.000229507,0.000229507,0.000229507
51,2799.24,0.56011,0.61906,1.04272,0.91664,0.89507,0.95693,0.89214,0.46144,0.44361,0.93928,0.000228007,0.000228007,0.000228007
52,2855.28,0.53389,0.59411,1.02974,0.92105,0.89487,0.95912,0.88577,0.4652,0.42767,0.94812,0.000226508,0.000226508,0.000226508
53,2913.81,0.54581,0.61967,1.03935,0.90318,0.91667,0.96042,0.89356,0.45876,0.42716,0.93935,0.000225008,0.000225008,0.000225008
54,2971.12,0.55212,0.61023,1.03368,0.91546,0.87743,0.95808,0.882,0.48372,0.45417,0.95468,0.000223508,0.000223508,0.000223508
55,3026.04,0.55181,0.62304,1.02861,0.9143,0.88455,0.95888,0.88977,0.47158,0.43227,0.94669,0.000222008,0.000222008,0.000222008
