epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,13988.5,0.60692,0.73294,1.07965,0.90499,0.83029,0.94123,0.73806,0.93996,0.79472,1.3442,0.000197835,0.000197835,0.000197835
43,14340.5,0.60787,0.73711,1.08071,0.88319,0.89558,0.93026,0.78383,0.74113,0.67876,1.14789,0.000194539,0.000194539,0.000194539
44,14687.8,0.59457,0.70895,1.07098,0.88051,0.80811,0.9356,0.73977,0.91892,0.81769,1.31144,0.000191242,0.000191242,0.000191242
45,15037.6,0.59722,0.71279,1.07528,0.9095,0.86078,0.94283,0.78659,0.76779,0.69247,1.17761,0.000187945,0.000187945,0.000187945
46,15385.4,0.60082,0.69278,1.07037,0.8138,0.8655,0.91781,0.7314,0.87012,0.83006,1.2786,0.000184649,0.000184649,0.000184649
47,15735.2,0.59885,0.69953,1.0762,0.89807,0.84776,0.92675,0.74059,0.90526,0.76751,1.29614,0.000181352,0.000181352,0.000181352
48,16083.1,0.59177,0.68468,1.07047,0.89834,0.86158,0.93112,0.75479,0.87872,0.73244,1.28149,0.000178055,0.000178055,0.000178055
49,16433.4,0.58646,0.66468,1.06113,0.87085,0.82244,0.92785,0.74218,0.89129,0.82517,1.2939,0.000174758,0.000174758,0.000174758
50,16780.6,0.58239,0.6574,1.06407,0.91531,0.90199,0.94844,0.80019,0.73995,0.63815,1.15023,0.000171462,0.000171462,0.000171462
51,17130.5,0.57107,0.65374,1.0609,0.8986,0.87749,0.93085,0.76031,0.8259,0.7163,1.22452,0.000168165,0.000168165,0.000168165
52,17477.5,0.58378,0.6389,1.06117,0.92659,0.83949,0.93816,0.77535,0.80472,0.699,1.19625,0.000164868,0.000164868,0.000164868
53,17826.5,0.56937,0.63168,1.05371,0.89986,0.86024,0.94619,0.77391,0.83982,0.68761,1.23788,0.000161572,0.000161572,0.000161572
54,18171.8,0.57651,0.62865,1.06252,0.91381,0.89019,0.95894,0.76588,0.86029,0.66043,1.26885,0.000158275,0.000158275,0.000158275
55,18521.1,0.56352,0.6174,1.0584,0.92263,0.88904,0.94312,0.77571,0.75629,0.66091,1.1673,0.000154978,0.000154978,0.000154978
