epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2080.76,0.95529,1.4758,1.27128,0.90283,0.82674,0.91278,0.75765,0.75985,0.78831,1.1165,0.00949263,0.00949263,0.00949263
43,2130.33,0.97377,1.4798,1.27591,0.88102,0.84757,0.9088,0.7413,0.82284,0.77869,1.15967,0.00948025,0.00948025,0.00948025
44,2179.87,0.95613,1.4379,1.2618,0.79725,0.90249,0.92113,0.78605,0.7074,0.82911,1.10293,0.00946788,0.00946788,0.00946788
45,2229.28,0.96198,1.47349,1.27727,0.87063,0.82007,0.89857,0.74794,0.7293,0.80429,1.09158,0.0094555,0.0094555,0.0094555
46,2278.67,0.95734,1.44386,1.27889,0.82158,0.88448,0.9299,0.80051,0.6879,0.74706,1.09185,0.00944313,0.00944313,0.00944313
47,2328.26,0.94542,1.43991,1.2714,0.80742,0.83359,0.9044,0.76996,0.69796,0.83988,1.08625,0.00943075,0.00943075,0.00943075
48,2377.8,0.93553,1.41267,1.26474,0.88525,0.7788,0.90637,0.76894,0.71882,0.76203,1.0873,0.00941837,0.00941837,0.00941837
49,2427.15,0.94388,1.38171,1.25496,0.90001,0.86047,0.92631,0.78805,0.72131,0.72645,1.08416,0.009406,0.009406,0.009406
50,2476.66,0.93076,1.38323,1.25142,0.80899,0.91351,0.93355,0.77481,0.74779,0.70979,1.11325,0.00939363,0.00939363,0.00939363
51,2526.03,0.92884,1.35962,1.26448,0.87295,0.82597,0.90127,0.74236,0.77801,0.72185,1.13005,0.00938125,0.00938125,0.00938125
52,2575.37,0.91754,1.34213,1.2435,0.84697,0.8323,0.91068,0.77918,0.70157,0.71666,1.08457,0.00936888,0.00936888,0.00936888
53,2624.9,0.92592,1.33964,1.25871,0.90694,0.86464,0.94111,0.79501,0.698,0.70337,1.09382,0.0093565,0.0093565,0.0093565
54,2674.43,0.90536,1.34356,1.22699,0.81477,0.85989,0.91326,0.77712,0.69665,0.71773,1.09092,0.00934413,0.00934413,0.00934413
55,2723.79,0.92105,1.32194,1.24178,0.82904,0.91884,0.94542,0.81164,0.67049,0.667,1.07013,0.00933175,0.00933175,0.00933175
56,2773.25,0.91554,1.31382,1.24319,0.84758,0.85149,0.92567,0.80987,0.61544,0.69574,1.02789,0.00931937,0.00931937,0.00931937
57,2822.69,0.90844,1.28204,1.2417,0.89753,0.84819,0.92926,0.80216,0.64319,0.66107,1.04647,0.009307,0.009307,0.009307
58,2871.98,0.9146,1.30492,1.235,0.83534,0.91576,0.93174,0.81251,0.61582,0.67303,1.03618,0.00929462,0.00929462,0.00929462
59,2921.52,0.91209,1.32946,1.23918,0.8946,0.85874,0.93014,0.79969,0.64368,0.66316,1.05049,0.00928225,0.00928225,0.00928225
60,2971.02,0.89263,1.2895,1.23011,0.88761,0.8837,0.9518,0.83427,0.62433,0.64698,1.05072,0.00926988,0.00926988,0.00926988
61,3020.53,0.88366,1.29287,1.225,0.81349,0.91948,0.94306,0.82418,0.63435,0.66028,1.05274,0.0092575,0.0092575,0.0092575
62,3069.98,0.87296,1.23873,1.21132,0.88214,0.88436,0.93916,0.82247,0.61995,0.63899,1.03786,0.00924512,0.00924512,0.00924512
63,3119.37,0.88556,1.26026,1.22527,0.89163,0.8779,0.93592,0.83376,0.58427,0.67145,1.00943,0.00923275,0.00923275,0.00923275
64,3168.71,0.89336,1.24897,1.23431,0.84201,0.89421,0.9228,0.82153,0.59426,0.64358,1.01735,0.00922038,0.00922038,0.00922038
65,3218.22,0.89212,1.25364,1.22422,0.84642,0.88655,0.92816,0.82205,0.59581,0.66315,1.02205,0.009208,0.009208,0.009208
66,3267.78,0.8742,1.23803,1.2113,0.90353,0.8856,0.93404,0.80712,0.62883,0.59482,1.03167,0.00919562,0.00919562,0.00919562
67,3317.17,0.8784,1.22467,1.21374,0.85106,0.87992,0.93796,0.82641,0.57663,0.60801,1.01126,0.00918325,0.00918325,0.00918325
68,3366.63,0.86965,1.23018,1.21579,0.88232,0.88256,0.93301,0.80377,0.64206,0.6343,1.04076,0.00917088,0.00917088,0.00917088
69,3415.93,0.87425,1.22359,1.22191,0.90891,0.85786,0.92849,0.81078,0.62609,0.64667,1.02728,0.0091585,0.0091585,0.0091585
70,3465.28,0.87389,1.20474,1.21254,0.8652,0.89571,0.94937,0.82364,0.6436,0.60898,1.04983,0.00914613,0.00914613,0.00914613
71,3514.74,0.87018,1.19657,1.21054,0.8663,0.88821,0.94531,0.8216,0.62005,0.60299,1.03813,0.00913375,0.00913375,0.00913375
72,3564.18,0.88021,1.19533,1.21929,0.89703,0.87019,0.94037,0.82876,0.6036,0.63207,1.01297,0.00912138,0.00912138,0.00912138
73,3613.6,0.84502,1.1779,1.1972,0.81842,0.89918,0.94114,0.82101,0.60862,0.61301,1.02898,0.009109,0.009109,0.009109
74,3662.97,0.86432,1.2018,1.21829,0.88522,0.89786,0.94999,0.83519,0.59054,0.60544,1.0032,0.00909662,0.00909662,0.00909662
