epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2141.25,0.97213,1.77532,1.29123,0.71394,0.73127,0.84001,0.72105,0.64447,1.10771,1.08134,0.00898525,0.00898525,0.00898525
43,2193.48,0.95843,1.74667,1.2663,0.55107,0.87447,0.81808,0.71804,0.57598,1.19095,1.04228,0.0089605,0.0089605,0.0089605
44,2243.57,0.97336,1.74426,1.27863,0.7727,0.78788,0.85502,0.73939,0.60052,1.07565,1.05491,0.00893575,0.00893575,0.00893575
45,2294.07,0.98417,1.6945,1.28236,0.82104,0.80148,0.85199,0.74807,0.59683,1.0235,1.05209,0.008911,0.008911,0.008911
46,2345.67,0.9599,1.67017,1.27046,0.75323,0.77593,0.84709,0.72261,0.6546,1.05436,1.07381,0.00888625,0.00888625,0.00888625
47,2395.72,0.97119,1.69318,1.27274,0.69342,0.7877,0.8386,0.72026,0.64463,1.20462,1.0843,0.0088615,0.0088615,0.0088615
48,2445.36,0.96471,1.68293,1.27875,0.65961,0.85646,0.85714,0.73467,0.62369,0.9687,1.06517,0.00883675,0.00883675,0.00883675
49,2494.81,0.95899,1.67503,1.27627,0.6707,0.79162,0.8332,0.72656,0.60665,1.12793,1.05295,0.008812,0.008812,0.008812
50,2544.16,0.94905,1.62117,1.26439,0.77115,0.75623,0.85097,0.74629,0.58814,1.04168,1.03469,0.00878725,0.00878725,0.00878725
51,2593.52,0.9817,1.66423,1.28388,0.70321,0.82394,0.85696,0.73415,0.61372,1.05102,1.05796,0.0087625,0.0087625,0.0087625
52,2643.13,0.94198,1.6122,1.25896,0.71486,0.76493,0.8536,0.75461,0.56759,0.96649,1.01966,0.00873775,0.00873775,0.00873775
53,2693.09,0.94686,1.63174,1.2702,0.71439,0.81699,0.88014,0.77072,0.59106,1.04057,1.04613,0.008713,0.008713,0.008713
54,2742.91,0.93107,1.58183,1.24758,0.79051,0.76724,0.8888,0.7781,0.59478,1.00307,1.04972,0.00868825,0.00868825,0.00868825
55,2792.72,0.94683,1.60155,1.2509,0.75113,0.81846,0.8774,0.76975,0.59212,0.91192,1.04864,0.0086635,0.0086635,0.0086635
56,2842.49,0.9461,1.5877,1.27367,0.75147,0.80283,0.89684,0.79723,0.60012,0.97967,1.05176,0.00863875,0.00863875,0.00863875
57,2891.95,0.93566,1.57064,1.25519,0.78849,0.81563,0.87469,0.75799,0.61205,0.97063,1.05311,0.008614,0.008614,0.008614
58,2941.88,0.92044,1.59016,1.23946,0.82172,0.7644,0.88071,0.76695,0.61751,0.8304,1.05715,0.00858925,0.00858925,0.00858925
59,2991.53,0.94124,1.5882,1.25477,0.79471,0.84601,0.88241,0.77466,0.58705,0.94144,1.03885,0.0085645,0.0085645,0.0085645
60,3041.14,0.9155,1.51417,1.2505,0.83458,0.82442,0.90708,0.78757,0.61137,0.81468,1.06801,0.00853975,0.00853975,0.00853975
61,3090.9,0.90424,1.50468,1.23714,0.7535,0.85524,0.8827,0.76765,0.60604,0.88966,1.04807,0.008515,0.008515,0.008515
62,3141.32,0.91493,1.53178,1.23756,0.76387,0.83008,0.90531,0.80655,0.55369,0.8296,1.01572,0.00849025,0.00849025,0.00849025
63,3192.25,0.89076,1.46781,1.22966,0.73884,0.84828,0.88313,0.77415,0.57907,0.85473,1.03723,0.0084655,0.0084655,0.0084655
64,3244.32,0.89734,1.46392,1.23854,0.70507,0.89116,0.90042,0.802,0.58086,0.90832,1.03061,0.00844075,0.00844075,0.00844075
65,3301.3,0.91124,1.49276,1.24198,0.77494,0.81486,0.88607,0.77268,0.61832,0.92495,1.07775,0.008416,0.008416,0.008416
66,3354.28,0.8998,1.45303,1.2373,0.78882,0.86327,0.91119,0.80026,0.59094,0.78262,1.04985,0.00839125,0.00839125,0.00839125
67,3408.08,0.90002,1.46069,1.22818,0.75861,0.83044,0.87276,0.76165,0.62224,0.88845,1.06216,0.0083665,0.0083665,0.0083665
68,3461.33,0.8984,1.45321,1.23266,0.77185,0.81841,0.89356,0.80442,0.5615,0.85584,1.03085,0.00834175,0.00834175,0.00834175
69,3515.24,0.883,1.39571,1.23019,0.79147,0.8868,0.93367,0.82696,0.55719,0.74707,1.01324,0.008317,0.008317,0.008317
70,3567.77,0.8888,1.39984,1.22981,0.8777,0.79671,0.90022,0.79494,0.60038,0.81644,1.05968,0.00829225,0.00829225,0.00829225
71,3620.39,0.89009,1.41954,1.22697,0.86435,0.826,0.90653,0.79552,0.58163,0.76075,1.04164,0.0082675,0.0082675,0.0082675
72,3672.62,0.88432,1.39875,1.21921,0.87625,0.86756,0.93958,0.83079,0.56685,0.70155,1.02444,0.00824275,0.00824275,0.00824275
73,3725.76,0.87544,1.3566,1.21933,0.82216,0.82981,0.91746,0.80548,0.58684,0.7776,1.02896,0.008218,0.008218,0.008218
74,3779.8,0.8801,1.38611,1.21832,0.85161,0.83786,0.92051,0.82431,0.56599,0.74006,1.02446,0.00819325,0.00819325,0.00819325
75,3834.66,0.88124,1.36338,1.22322,0.79486,0.82146,0.91981,0.80991,0.56798,0.77682,1.03289,0.0081685,0.0081685,0.0081685
76,3888.37,0.89523,1.3708,1.23018,0.81606,0.88754,0.9247,0.8307,0.56638,0.7613,1.02485,0.00814375,0.00814375,0.00814375
77,3942.24,0.88067,1.37061,1.22855,0.85722,0.86597,0.9302,0.82662,0.57085,0.68978,1.00823,0.008119,0.008119,0.008119
78,3996.2,0.86626,1.35554,1.2174,0.87564,0.8638,0.91988,0.82548,0.52906,0.65996,0.99713,0.00809425,0.00809425,0.00809425
79,4048.25,0.8803,1.35512,1.21656,0.81224,0.88098,0.91068,0.82417,0.53789,0.73838,1.00338,0.0080695,0.0080695,0.0080695
80,4100.21,0.8759,1.37382,1.22488,0.779,0.90418,0.92053,0.82457,0.54704,0.75052,1.01762,0.00804475,0.00804475,0.00804475
81,4152.36,0.86822,1.34981,1.21436,0.89715,0.8209,0.93637,0.83253,0.56262,0.72074,1.01669,0.00802,0.00802,0.00802
82,4207.12,0.87116,1.3173,1.21113,0.84419,0.8692,0.92581,0.83462,0.51706,0.69375,0.98039,0.00799525,0.00799525,0.00799525
83,4261.38,0.85717,1.33658,1.2085,0.79519,0.87809,0.92483,0.82042,0.56975,0.71969,1.02858,0.0079705,0.0079705,0.0079705
84,4313.69,0.86641,1.36072,1.21305,0.83684,0.85569,0.90792,0.81708,0.54856,0.7512,1.01956,0.00794575,0.00794575,0.00794575
85,4365.4,0.87477,1.31226,1.2221,0.86047,0.82648,0.91116,0.80188,0.57713,0.71962,1.02383,0.007921,0.007921,0.007921
86,4417.29,0.85438,1.27784,1.20224,0.89465,0.86282,0.93817,0.84954,0.51008,0.66178,0.97331,0.00789625,0.00789625,0.00789625
87,4469.06,0.83764,1.30198,1.1932,0.87176,0.87167,0.93009,0.83879,0.52654,0.67724,0.99531,0.0078715,0.0078715,0.0078715
88,4518.87,0.86421,1.29169,1.2119,0.89941,0.87065,0.93425,0.837,0.56138,0.66952,1.02449,0.00784675,0.00784675,0.00784675
