epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.4854,0.48534,3.92436,1.19057,0.01471,0.95536,0.09361,0.0924,0.32879,3.06906,0.5023,0.000104205,0.000104205,0.000104205
2,114.614,0.27758,3.44423,1.00355,0.39585,0.38598,0.26617,0.26586,0.17029,2.50333,0.29237,0.000207712,0.000207712,0.000207712
3,169.511,0.2496,2.89161,0.96533,0.15673,0.6333,0.3018,0.30162,0.2343,2.26407,0.33977,0.000310393,0.000310393,0.000310393
4,224.961,0.22563,2.53266,0.9505,0.24321,0.57108,0.45286,0.45286,0.20646,1.94147,0.32062,0.000309282,0.000309282,0.000309282
5,279.752,0.20334,2.34793,0.94013,0.36362,0.62285,0.46958,0.46747,0.19426,1.81518,0.29707,0.000308042,0.000308042,0.000308042
6,334.341,0.18954,2.2386,0.93626,0.26597,0.66742,0.46173,0.45098,0.2558,3.00689,0.34761,0.000306803,0.000306803,0.000306803
7,389.078,0.17521,2.15488,0.93045,0.51813,0.57009,0.58348,0.58332,0.27639,1.78663,0.36926,0.000305563,0.000305563,0.000305563
8,444.168,0.1662,2.07836,0.92691,0.47552,0.56346,0.59802,0.57655,0.25338,1.88805,0.3122,0.000304324,0.000304324,0.000304324
9,499.981,0.15485,2.01199,0.92312,0.45351,0.63624,0.59602,0.57432,0.29552,2.12081,0.36509,0.000303084,0.000303084,0.000303084
10,555.633,0.1419,1.93309,0.91917,0.53759,0.67186,0.63529,0.63128,0.1894,1.7119,0.25904,0.000301845,0.000301845,0.000301845
11,610.866,0.13966,1.88767,0.91625,0.52113,0.64883,0.59935,0.59769,0.19356,1.94729,0.26581,0.000300605,0.000300605,0.000300605
12,665.96,0.13675,1.84763,0.91641,0.62653,0.56037,0.66407,0.66016,0.22118,1.53789,0.29261,0.000299366,0.000299366,0.000299366
13,720.995,0.13323,1.7658,0.91743,0.43021,0.70436,0.67715,0.67634,0.17026,2.06934,0.24322,0.000298126,0.000298126,0.000298126
14,776.289,0.12426,1.72627,0.91392,0.6027,0.72134,0.72025,0.71108,0.20132,1.30943,0.26251,0.000296887,0.000296887,0.000296887
15,831.535,0.12349,1.67199,0.91689,0.64043,0.70399,0.74224,0.73557,0.21729,1.8051,0.27096,0.000295647,0.000295647,0.000295647
16,886.564,0.12618,1.62927,0.91857,0.40231,0.73148,0.67204,0.65257,0.30123,1.85776,0.33362,0.000294408,0.000294408,0.000294408
